UF,COD_UF,COD_AREA,COD_IBGE,CIDADE,CAPITAL,PRESTADORA,TCN_2G,TCN_3G,TCN_4G,TCN_5G
Goiás,52,64,5205901,Corumbaíba,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3118106,Congonhas do Norte,NÃO,CLARO,1,1,1,null
Maranhão,21,98,2107506,Paço do Lumiar,NÃO,BRISANET,null,null,1,1
São Paulo,35,19,3509502,Campinas,NÃO,TIM,99,168,221,163
Bahia,29,77,2906105,Canápolis,NÃO,VIVO,1,1,1,null
Minas Gerais,31,35,3132909,Itamogi,NÃO,VIVO,1,1,1,null
Piauí,22,86,2205508,José de Freitas,NÃO,VIVO,2,2,1,null
Rio de Janeiro,33,21,3302700,Maricá,NÃO,TIM,17,19,23,11
Paraná,41,45,4110953,Itaipulândia,NÃO,TIM,3,4,4,null
Minas Gerais,31,33,3139508,Manhumirim,NÃO,CLARO,1,1,1,null
Santa Catarina,42,49,4207650,Iporã do Oeste,NÃO,VIVO,1,2,1,null
Rio Grande do Norte,24,84,2412906,São Tomé,NÃO,TIM,1,null,1,null
Paraíba,25,83,2515708,Serra Grande,NÃO,VIVO,1,1,1,null
Maranhão,21,98,2108603,Pinheiro,NÃO,TIM,2,2,3,null
Minas Gerais,31,32,3136702,Juiz de Fora,NÃO,VIVO,45,70,93,78
Rio Grande do Sul,43,55,4302907,Cacequi,NÃO,CLARO,1,2,2,null
Rio de Janeiro,33,22,3303005,Miracema,NÃO,CLARO,2,3,3,null
Santa Catarina,42,49,4203600,Campos Novos,NÃO,TIM,1,1,2,null
Paraná,41,42,4104451,Cantagalo,NÃO,VIVO,1,3,3,null
Maranhão,21,99,2103802,Dom Pedro,NÃO,VIVO,2,3,4,null
Ceará,23,88,2312304,São Benedito,NÃO,CLARO,2,2,2,null
Mato Grosso,51,65,5103007,Chapada dos Guimarães,NÃO,TIM,5,1,6,null
Rio de Janeiro,33,22,3304151,Quissamã,NÃO,VIVO,3,4,4,2
