MESDATPER,ANO,MES,SERVICO,PRESTADORA,CN,COD_IBGE,UF,COD_UF,CIDADE,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,NUMERO_MEDIDAS,NUMERO_COLETORES,VALIDADE_ESTATISTICA
202501,2025,1,SMP,TIM,68,1200013,Acre,12,Acrelândia,"99,9188","0,5949","99,8196","88,8888","80,0000","86,6666","86,6666","100,0000",12,8,0
202501,2025,1,SMP,CLARO,68,1200013,Acre,12,Acrelândia,"99,8851","0,0625","99,7570","91,4096","91,3627","87,9078","96,5517","100,0000",453,100,1
202501,2025,1,SMP,VIVO,68,1200013,Acre,12,Acrelândia,"99,8655","0,2682","99,8852","100,0000","80,0000","100,0000","100,0000","100,0000",4,1,0
202501,2025,1,SMP,CLARO,68,1200054,Acre,12,Assis Brasil,"99,7636","0,1621","99,5206","82,0083","81,3953","84,4961","97,6923","100,0000",119,50,1
202501,2025,1,SMP,TIM,68,1200054,Acre,12,Assis Brasil,"99,7854","0,9037","99,2096",NA,NA,NA,NA,"99,9708",null,null,0
202501,2025,1,SMP,VIVO,68,1200054,Acre,12,Assis Brasil,"99,7095","0,6333","99,7377",NI,NI,NI,NI,"100,0000",null,null,0
202501,2025,1,SMP,VIVO,68,1200104,Acre,12,Brasiléia,"99,8879","0,1179","99,9177","97,7777","76,1904","100,0000","69,3877","99,3010",40,21,0
202501,2025,1,SMP,TIM,68,1200104,Acre,12,Brasiléia,"99,7822","0,5099","99,9212","95,6521","91,6666","91,6666","91,6666","100,0000",11,6,0
202501,2025,1,SMP,CLARO,68,1200104,Acre,12,Brasiléia,"99,8019","0,0708","99,6897","94,5475","89,0041","84,2323","96,0416","100,0000",431,217,1
202501,2025,1,SMP,TIM,68,1200138,Acre,12,Bujari,"99,8235","0,7618","99,6320","90,9090","88,2352","94,1176","100,0000","100,0000",16,9,0
202501,2025,1,SMP,VIVO,68,1200138,Acre,12,Bujari,"99,7794","0,3809","99,8261","90,6250","68,4210","100,0000","85,7142","100,0000",16,6,0
202501,2025,1,SMP,CLARO,68,1200138,Acre,12,Bujari,"99,8835","0,1564","99,3786","88,9967","88,9534","88,0813","96,2099","100,0000",309,126,1
202501,2025,1,SMP,VIVO,68,1200179,Acre,12,Capixaba,"99,9363","0,1939","99,8985","72,7941","90,2777","100,0000","80,0000","100,0000",68,12,0
202501,2025,1,SMP,CLARO,68,1200179,Acre,12,Capixaba,"99,8089","0,1238","99,7529","88,4718","85,9296","89,9497","95,5000","100,0000",186,63,1
202501,2025,1,SMP,TIM,68,1200179,Acre,12,Capixaba,"99,9405","0,2313","99,8699",NI,NI,NI,NI,"100,0000",null,null,0
202501,2025,1,SMP,TIM,68,1200203,Acre,12,Cruzeiro do Sul,"99,5307","0,7883","98,8541","91,4062","16,9230","83,0769","64,6153","99,1599",63,32,0
202501,2025,1,SMP,CLARO,68,1200203,Acre,12,Cruzeiro do Sul,"99,8110","0,0637","99,3402","94,0411","90,7142","87,8061","96,2215","100,0000",3490,801,1
202501,2025,1,SMP,VIVO,68,1200203,Acre,12,Cruzeiro do Sul,"99,8120","0,1493","99,8808","93,8636","93,3333","99,5495","92,3404","100,0000",220,41,1
202501,2025,1,SMP,TIM,68,1200252,Acre,12,Epitaciolândia,"99,8141","0,2574","99,9111",NA,NA,NA,NA,"100,0000",null,null,0
202501,2025,1,SMP,VIVO,68,1200252,Acre,12,Epitaciolândia,"99,8224","0,1462","99,8639","78,5714","85,1851","95,0617","90,6976","99,3010",77,22,0
202501,2025,1,SMP,CLARO,68,1200252,Acre,12,Epitaciolândia,"99,7905","0,0709","99,6458","94,5155","89,1373","90,4153","96,4630","100,0000",272,136,1
202501,2025,1,SMP,CLARO,68,1200302,Acre,12,Feijó,"99,8086","0,0873","99,8816","94,2708","92,5544","87,2852","97,5917","100,0000",766,176,1
202501,2025,1,SMP,TIM,68,1200302,Acre,12,Feijó,"99,8304","0,5888","99,6627","100,0000","0,0000","100,0000","100,0000","100,0000",1,1,0
202501,2025,1,SMP,VIVO,68,1200302,Acre,12,Feijó,"99,2539","0,4260","99,4797","57,5000","93,3333","100,0000","72,2222","100,0000",15,7,0
202501,2025,1,SMP,TIM,68,1200328,Acre,12,Jordão,"99,8085","0,3307","99,0056","100,0000","0,0000","100,0000","100,0000","100,0000",3,1,0
202501,2025,1,SMP,CLARO,68,1200328,Acre,12,Jordão,"99,7008","0,1388","99,7885","89,6162","0,0000","91,3857","11,1940","99,6684",221,37,1
202501,2025,1,SMP,CLARO,68,1200336,Acre,12,Mâncio Lima,"99,7891","0,0751","99,2189","87,6811","84,1628","85,9728","94,0639","100,0000",206,75,1
202501,2025,1,SMP,TIM,68,1200336,Acre,12,Mâncio Lima,"99,8975","0,1770","99,8696",NA,NA,NA,NA,"97,4966",null,null,0
202501,2025,1,SMP,VIVO,68,1200336,Acre,12,Mâncio Lima,"99,8777","0,1682","99,8564","82,1428","69,3877","97,9591","86,7924","100,0000",42,10,0
202501,2025,1,SMP,VIVO,68,1200344,Acre,12,Manoel Urbano,"99,7137","0,3373","99,9093","57,1428","73,3333","93,3333","82,3529","100,0000",7,1,0
202501,2025,1,SMP,TIM,68,1200344,Acre,12,Manoel Urbano,"99,6562","0,2710","99,8684","75,0000","0,0000","0,0000","100,0000","100,0000",2,2,0
202501,2025,1,SMP,CLARO,68,1200344,Acre,12,Manoel Urbano,"99,8834","0,0788","99,7283","93,9577","88,5026","86,0962","97,0509","100,0000",330,90,1
202501,2025,1,SMP,CLARO,68,1200351,Acre,12,Marechal Thaumaturgo,"99,6750","0,1109","99,7287","66,5492","0,0000","85,9649","7,1428","99,6393",141,32,1
202501,2025,1,SMP,TIM,68,1200351,Acre,12,Marechal Thaumaturgo,"99,5596","0,4088","99,8139","71,9298","0,0000","86,2068","10,7142","99,9742",28,7,0
202501,2025,1,SMP,CLARO,68,1200385,Acre,12,Plácido de Castro,"99,8688","0,0644","99,8013","95,3420","90,5263","89,4736","96,0526","100,0000",343,162,1
202501,2025,1,SMP,VIVO,68,1200385,Acre,12,Plácido de Castro,"99,7246","0,2865","99,9116","100,0000","100,0000","100,0000","100,0000","100,0000",12,3,0
