empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,27,32,Espírito Santo,Nova Venécia,3203908,Licenciada,12,19,5,null
CLARO,62,52,Goiás,Anápolis,5201108,Licenciada,54,68,68,31
TIM,85,23,Ceará,Fortaleza,2304400,Licenciada,176,210,371,361
CLARO,11,35,São Paulo,Santa Isabel,3546801,Licenciada,10,9,13,1
TIM,84,24,Rio Grande do Norte,Caiçara do Rio do Vento,2401909,Licenciada,1,1,2,null
VIVO,63,17,Tocantins,Formoso do Araguaia,1708205,Licenciada,1,1,2,null
TIM,18,35,São Paulo,Anhumas,3502408,Licenciada,2,2,1,null
TIM,88,23,Ceará,Independência,2305605,Licenciada,2,2,3,null
CLARO,64,52,Goiás,Rio Verde,5218805,Licenciada,24,31,31,22
CLARO,27,32,Espírito Santo,Mantenópolis,3203304,Licenciada,1,1,1,null
VIVO,32,31,Minas Gerais,Leopoldina,3138401,Licenciada,4,9,12,null
ALGAR,34,31,Minas Gerais,Frutal,3127107,Licenciada,13,12,12,8
TIM,75,29,Bahia,Mucugê,2921906,Licenciada,null,null,2,null
VIVO,51,43,Rio Grande do Sul,Tramandaí,4321600,Licenciada,12,13,18,6
CLARO,41,41,Paraná,Pontal do Paraná,4119954,Licenciada,7,6,7,null
VIVO,31,31,Minas Gerais,São Joaquim de Bicas,3162922,Licenciada,1,3,3,null
CLARO,86,22,Piauí,Juazeiro do Piauí,2205516,Licenciada,null,1,1,null
CLARO,88,23,Ceará,Iracema,2306009,Licenciada,1,1,1,null
VIVO,33,31,Minas Gerais,Ubaporanga,3170057,Licenciada,1,3,3,null
VIVO,48,42,Santa Catarina,Santa Rosa do Sul,4215653,Licenciada,null,1,1,null
TIM,17,35,São Paulo,Uchoa,3555604,Licenciada,4,4,3,null
VIVO,92,13,Amazonas,Autazes,1300300,Licenciada,1,3,3,null
VIVO,81,26,Pernambuco,Chã Grande,2604502,Licenciada,null,1,1,null
CLARO,67,50,Mato Grosso do Sul,Aquidauana,5001102,Licenciada,5,7,8,1
TIM,48,42,Santa Catarina,Santa Rosa de Lima,4215604,Licenciada,1,1,2,1
